Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
353,Divock Origi,be BEL,FW,Liverpool,23,1995,12,4,371,4.1,3,1,4,3,0,0,0,0,2.2,2.2,0.2,2.3,16,7,28,0.73,0.24,0.97,0.73,0.97,0.53,0.04,0.57,0.53,0.57,Matches
354,Nicolás Otamendi,ar ARG,DF,Manchester City,30,1988,18,14,"1,236",13.7,0,0,0,0,0,0,1,0,1.3,1.3,0.2,1.5,27,92,3,0,0,0,0,0,0.1,0.01,0.11,0.1,0.11,Matches
355,Alex Oxlade-Chamberlain,eng ENG,MF,Liverpool,24,1993,2,0,21,0.2,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.6,0,4,1,0,0,0,0,0,2.33,0.3,2.62,2.33,2.62,Matches
356,Mesut Özil,de GER,"MF,FW",Arsenal,29,1988,24,20,"1,735",19.3,5,2,7,5,0,0,2,0,1.7,1.7,4.1,5.8,75,146,174,0.26,0.1,0.36,0.26,0.36,0.09,0.21,0.3,0.09,0.3,Matches
357,Emerson Palmieri,it ITA,DF,Chelsea,23,1994,10,7,663,7.4,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.6,39,34,50,0,0,0,0,0,0.04,0.04,0.08,0.04,0.08,Matches
358,Sokratis Papastathopoulos,gr GRE,DF,Arsenal,30,1988,25,25,"2,198",24.4,1,2,3,1,0,0,12,0,0.8,0.8,0.7,1.5,14,43,3,0.04,0.08,0.12,0.04,0.12,0.03,0.03,0.06,0.03,0.06,Matches
359,Callum Paterson,sct SCO,"FW,MF",Cardiff City,23,1994,27,21,"1,998",22.2,4,1,5,4,0,0,4,0,5.5,5.5,2.8,8.2,13,68,63,0.18,0.05,0.23,0.18,0.23,0.25,0.12,0.37,0.25,0.37,Matches
360,Rui Patrício,pt POR,GK,Wolves,30,1988,37,37,"3,329",37,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
361,Pedro,es ESP,FW,Chelsea,31,1987,31,21,"1,778",19.8,8,2,10,8,0,0,2,0,5.3,5.3,3.5,8.8,63,94,202,0.4,0.1,0.51,0.4,0.51,0.27,0.18,0.45,0.27,0.45,Matches
362,Lee Peltier,eng ENG,DF,Cardiff City,31,1986,20,17,"1,544",17.2,0,0,0,0,0,0,4,0,0,0,0.1,0.1,1,33,11,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches
363,Andreas Pereira,br BRA,MF,Manchester Utd,22,1996,15,6,599,6.7,1,1,2,1,0,0,5,0,0.3,0.3,0.9,1.1,10,33,19,0.15,0.15,0.3,0.15,0.3,0.04,0.13,0.17,0.04,0.17,Matches
364,Ricardo Pereira,pt POR,"DF,FW",Leicester City,24,1993,35,35,"3,123",34.7,2,6,8,2,0,0,7,0,1.2,1.2,5.2,6.4,114,170,150,0.06,0.17,0.23,0.06,0.23,0.04,0.15,0.18,0.04,0.18,Matches
365,Roberto Pereyra,ar ARG,MF,Watford,27,1991,33,33,"2,815",31.3,6,1,7,6,0,0,3,0,5.4,5.4,3.2,8.6,101,117,188,0.19,0.03,0.22,0.19,0.22,0.17,0.1,0.28,0.17,0.28,Matches
366,Ayoze Pérez,es ESP,"MF,FW",Newcastle Utd,25,1993,37,34,"2,917",32.4,12,2,14,12,0,0,2,0,7.5,7.5,3.6,11.1,72,82,159,0.37,0.06,0.43,0.37,0.43,0.23,0.11,0.34,0.23,0.34,Matches
367,Lucas Pérez,es ESP,"FW,MF",West Ham,29,1988,15,4,475,5.3,3,0,3,3,0,0,0,0,1.3,1.3,0.8,2.1,2,7,34,0.57,0,0.57,0.57,0.57,0.24,0.16,0.39,0.24,0.39,Matches
368,Jordan Pickford,eng ENG,GK,Everton,24,1994,38,38,"3,420",38,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
369,Paul Pogba,fr FRA,MF,Manchester Utd,25,1993,35,34,"3,006",33.4,13,9,22,6,7,10,6,0,15,7.1,4.7,11.8,100,295,205,0.39,0.27,0.66,0.18,0.45,0.45,0.14,0.59,0.21,0.35,Matches
370,Alex Pritchard,eng ENG,"MF,FW",Huddersfield,25,1993,30,26,"2,081",23.1,2,0,2,2,0,0,2,0,2.7,2.7,1.8,4.5,72,91,164,0.09,0,0.09,0.09,0.09,0.12,0.08,0.19,0.12,0.19,Matches
371,Sebastian Prödl,at AUT,DF,Watford,31,1987,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
372,Davy Pröpper,nl NED,MF,Brighton,26,1991,30,30,"2,546",28.3,1,1,2,1,0,0,2,0,0.9,0.9,1.3,2.1,28,165,58,0.04,0.04,0.07,0.04,0.07,0.03,0.05,0.08,0.03,0.08,Matches
373,Jason Puncheon,eng ENG,MF,Crystal Palace,32,1986,5,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
374,Jason Puncheon,eng ENG,MF,Huddersfield,32,1986,6,5,382,4.2,0,0,0,0,0,0,1,0,0.3,0.3,0.5,0.8,6,26,17,0,0,0,0,0,0.06,0.12,0.19,0.06,0.19,Matches
375,Collin Quaner,de GER,FW,Huddersfield,27,1991,2,0,39,0.4,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,4,2,0,0,0,0,0,0,0.17,0.17,0,0.17,Matches
376,Domingos Quina,pt POR,MF,Watford,18,1999,8,3,338,3.8,1,0,1,1,0,0,0,0,0.2,0.2,0.1,0.2,8,20,6,0.27,0,0.27,0.27,0.27,0.04,0.02,0.06,0.04,0.06,Matches
377,Joe Ralls,eng ENG,MF,Cardiff City,24,1993,28,22,"1,959",21.8,0,0,0,0,0,1,4,1,1.6,0.8,3.2,4.1,20,111,18,0,0,0,0,0,0.07,0.15,0.22,0.04,0.19,Matches
378,Aaron Ramsey,wls WAL,MF,Arsenal,27,1990,28,14,"1,331",14.8,4,6,10,4,0,0,0,0,3.4,3.4,2,5.4,47,88,133,0.27,0.41,0.68,0.27,0.68,0.23,0.14,0.37,0.23,0.37,Matches
379,Kayne Ramsey,eng ENG,DF,Southampton,17,2000,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
380,Marcus Rashford,eng ENG,FW,Manchester Utd,20,1997,33,26,"2,334",25.9,10,6,16,10,0,0,3,1,10.7,10.7,5,15.7,74,65,225,0.39,0.23,0.62,0.39,0.62,0.41,0.19,0.6,0.41,0.6,Matches
381,Tim Ream,us USA,DF,Fulham,30,1987,26,25,"2,047",22.7,0,0,0,0,0,0,1,0,0,0,0.1,0.2,13,68,1,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches
382,Nathan Redmond,eng ENG,"MF,FW",Southampton,24,1994,38,36,"3,270",36.3,6,4,10,6,0,0,3,0,7.6,7.6,4.7,12.2,174,129,301,0.17,0.11,0.28,0.17,0.28,0.21,0.13,0.34,0.21,0.34,Matches
383,Bobby Reid,jm JAM,"FW,MF",Cardiff City,25,1993,27,16,"1,424",15.8,5,2,7,4,1,1,0,0,3.8,3,1.2,4.2,15,23,76,0.32,0.13,0.44,0.25,0.38,0.24,0.07,0.31,0.19,0.26,Matches
384,Declan Rice,eng ENG,MF,West Ham,19,1999,34,34,"3,003",33.4,2,0,2,2,0,0,4,0,1.2,1.2,0.4,1.6,27,127,11,0.06,0,0.06,0.06,0.06,0.04,0.01,0.05,0.04,0.05,Matches
385,Jazz Richards,wls WAL,"DF,MF",Cardiff City,27,1991,4,0,132,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,Matches
386,Richarlison,br BRA,"FW,MF",Everton,21,1997,35,32,"2,665",29.6,13,1,14,13,0,0,5,1,9.4,9.3,2,11.3,95,74,220,0.44,0.03,0.47,0.44,0.47,0.32,0.07,0.38,0.32,0.38,Matches
387,Diego Rico,es ESP,"DF,MF",Bournemouth,25,1993,12,5,612,6.8,0,0,0,0,0,0,1,0,0.2,0.2,1.1,1.3,11,39,34,0,0,0,0,0,0.04,0.16,0.2,0.04,0.2,Matches
388,Sergio Rico,es ESP,GK,Fulham,24,1993,29,29,"2,610",29,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
389,Matt Ritchie,sct SCO,"DF,MF",Newcastle Utd,28,1989,36,35,"2,928",32.5,2,8,10,1,1,2,9,0,5.1,3.6,5.3,8.9,56,83,131,0.06,0.25,0.31,0.03,0.28,0.16,0.16,0.32,0.11,0.27,Matches
390,Andrew Robertson,sct SCO,DF,Liverpool,24,1994,36,36,"3,216",35.7,0,11,11,0,0,0,4,0,0.7,0.7,7.2,7.9,124,244,263,0,0.31,0.31,0,0.31,0.02,0.2,0.22,0.02,0.22,Matches
391,Marcos Rojo,ar ARG,DF,Manchester Utd,28,1990,5,2,212,2.4,0,0,0,0,0,0,2,0,0.2,0.2,0,0.2,1,8,3,0,0,0,0,0,0.1,0,0.1,0.1,0.1,Matches
392,Oriol Romeu,es ESP,MF,Southampton,26,1991,31,25,"2,136",23.7,1,0,1,1,0,0,11,0,0.9,0.9,1,1.9,19,147,10,0.04,0,0.04,0.04,0.04,0.04,0.04,0.08,0.04,0.08,Matches
393,Salomón Rondón,ve VEN,FW,Newcastle Utd,28,1989,32,30,"2,603",28.9,11,7,18,11,0,0,1,0,10.4,10.4,3,13.4,38,46,154,0.38,0.24,0.62,0.38,0.62,0.36,0.1,0.46,0.36,0.46,Matches
394,Danny Rose,eng ENG,DF,Tottenham,28,1990,26,20,"1,798",20,0,3,3,0,0,0,5,0,0.7,0.7,2.2,2.9,83,99,141,0,0.15,0.15,0,0.15,0.04,0.11,0.15,0.04,0.15,Matches
395,Aaron Rowe,eng ENG,FW,Huddersfield,17,2000,2,1,69,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,Matches
396,John Ruddy,eng ENG,GK,Wolves,31,1986,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
397,Antonio Rüdiger,de GER,DF,Chelsea,25,1993,33,33,"2,871",31.9,1,0,1,1,0,0,7,0,2.5,2.5,0.6,3.1,21,174,1,0.03,0,0.03,0.03,0.03,0.08,0.02,0.1,0.08,0.1,Matches
398,Mathew Ryan,au AUS,GK,Brighton,26,1992,34,34,"3,060",34,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
399,Abdelhamid Sabiri,ma MAR,FW,Huddersfield,21,1996,2,1,48,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
400,Romain Saïss,ma MAR,"MF,DF",Wolves,28,1990,19,12,"1,149",12.8,2,0,2,2,0,0,7,0,1.4,1.4,0.6,2,9,66,8,0.16,0,0.16,0.16,0.16,0.11,0.05,0.16,0.11,0.16,Matches
401,Bukayo Saka,eng ENG,FW,Arsenal,16,2001,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
402,Mamadou Sakho,fr FRA,DF,Crystal Palace,28,1990,27,27,"2,416",26.8,0,0,0,0,0,0,2,0,0.4,0.4,0.2,0.6,8,91,3,0,0,0,0,0,0.02,0.01,0.02,0.02,0.02,Matches
403,Bakary Sako,ml MLI,FW,Crystal Palace,30,1988,4,0,29,0.3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,Matches
404,Mohamed Salah,eg EGY,FW,Liverpool,26,1992,38,37,"3,250",36.1,22,8,30,19,3,3,1,0,20.2,17.9,9.4,27.2,131,127,429,0.61,0.22,0.83,0.53,0.75,0.56,0.26,0.82,0.49,0.75,Matches
405,Alexis Sánchez,cl CHI,"FW,MF",Manchester Utd,29,1988,20,9,880,9.8,1,3,4,1,0,0,3,0,1.5,1.5,3,4.5,37,50,89,0.1,0.31,0.41,0.1,0.41,0.15,0.31,0.46,0.15,0.46,Matches
406,Carlos Sánchez,co COL,MF,West Ham,32,1986,7,2,245,2.7,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,1,14,1,0,0,0,0,0,0.03,0.02,0.05,0.03,0.05,Matches
407,Davinson Sánchez,co COL,DF,Tottenham,22,1996,23,22,"1,942",21.6,1,1,2,1,0,0,2,0,1.4,1.4,0.4,1.8,5,59,2,0.05,0.05,0.09,0.05,0.09,0.06,0.02,0.08,0.06,0.08,Matches
408,Leroy Sané,de GER,FW,Manchester City,22,1996,31,21,"1,867",20.7,10,10,20,10,0,0,1,0,6.7,6.7,7.4,14.1,84,67,341,0.48,0.48,0.96,0.48,0.96,0.32,0.36,0.68,0.32,0.68,Matches
409,Fabian Schär,ch SUI,DF,Newcastle Utd,26,1991,24,22,"1,999",22.2,4,1,5,4,0,0,12,0,1.9,1.9,0.7,2.6,26,72,8,0.18,0.05,0.23,0.18,0.23,0.08,0.03,0.12,0.08,0.12,Matches
410,Christopher Schindler,de GER,DF,Huddersfield,28,1990,37,37,"3,260",36.2,1,0,1,1,0,0,5,1,1.1,1.1,0.2,1.3,15,72,5,0.03,0,0.03,0.03,0.03,0.03,0.01,0.04,0.03,0.04,Matches
411,Jeffrey Schlupp,gh GHA,"MF,FW",Crystal Palace,25,1992,30,18,"1,670",18.6,4,1,5,4,0,0,1,0,3.2,3.2,1.2,4.4,35,77,95,0.22,0.05,0.27,0.22,0.27,0.17,0.06,0.24,0.17,0.24,Matches
412,Kasper Schmeichel,dk DEN,GK,Leicester City,31,1986,38,38,"3,420",38,0,0,0,0,0,0,3,0,0.1,0.1,0.4,0.5,0,2,0,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches
413,Morgan Schneiderlin,fr FRA,MF,Everton,28,1989,14,10,834,9.3,0,1,1,0,0,0,2,0,0.1,0.1,0.4,0.6,6,47,5,0,0.11,0.11,0,0.11,0.02,0.05,0.06,0.02,0.06,Matches
414,André Schürrle,de GER,"FW,MF",Fulham,27,1990,24,21,"1,641",18.2,6,0,6,6,0,0,2,0,3.6,3.6,1.9,5.6,46,57,136,0.33,0,0.33,0.33,0.33,0.2,0.11,0.31,0.2,0.31,Matches
415,Ken Sema,se SWE,"MF,FW",Watford,24,1993,17,9,754,8.4,1,2,3,1,0,0,1,0,0.8,0.8,0.6,1.4,30,17,60,0.12,0.24,0.36,0.12,0.36,0.1,0.07,0.17,0.1,0.17,Matches
416,Jean Seri,ci CIV,MF,Fulham,27,1991,32,27,"2,244",24.9,1,2,3,1,0,0,6,0,0.9,0.9,4.8,5.6,26,164,40,0.04,0.08,0.12,0.04,0.12,0.04,0.19,0.23,0.04,0.23,Matches
417,Ryan Sessegnon,eng ENG,"FW,DF",Fulham,18,2000,35,26,"2,300",25.6,2,6,8,2,0,0,0,0,4,4,3.8,7.8,57,57,193,0.08,0.23,0.31,0.08,0.31,0.16,0.15,0.31,0.16,0.31,Matches
418,Xherdan Shaqiri,ch SUI,"FW,MF",Liverpool,26,1991,24,11,"1,064",11.8,6,3,9,6,0,0,2,0,3.9,3.9,1.6,5.5,28,85,75,0.51,0.25,0.76,0.51,0.76,0.33,0.14,0.46,0.33,0.46,Matches
419,Luke Shaw,eng ENG,DF,Manchester Utd,23,1995,29,29,"2,591",28.8,1,4,5,1,0,0,11,0,1.4,1.4,3.9,5.3,90,158,121,0.03,0.14,0.17,0.03,0.17,0.05,0.13,0.18,0.05,0.18,Matches
420,Jonjo Shelvey,eng ENG,MF,Newcastle Utd,26,1992,16,10,948,10.5,1,1,2,1,0,0,1,0,0.9,0.9,1.7,2.6,13,74,15,0.09,0.09,0.19,0.09,0.19,0.09,0.16,0.25,0.09,0.25,Matches
421,Gylfi Sigurðsson,is ISL,MF,Everton,28,1989,38,36,"3,117",34.6,13,6,19,11,2,5,3,0,10.7,6.7,6.9,13.6,51,172,144,0.38,0.17,0.55,0.32,0.49,0.31,0.2,0.51,0.19,0.39,Matches
422,Adrien Silva,pt POR,MF,Leicester City,29,1989,2,1,88,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,Matches
423,Bernardo Silva,pt POR,"MF,FW",Manchester City,23,1994,36,31,"2,854",31.7,7,7,14,7,0,0,3,0,7.4,7.4,7.8,15.2,152,156,277,0.22,0.22,0.44,0.22,0.44,0.23,0.25,0.48,0.23,0.48,Matches
424,David Silva,es ESP,MF,Manchester City,32,1986,33,28,"2,401",26.7,6,8,14,6,0,0,2,0,7.8,7.8,8.5,16.3,118,270,222,0.22,0.3,0.52,0.22,0.52,0.29,0.32,0.61,0.29,0.61,Matches
425,Xande Silva,pt POR,FW,West Ham,21,1997,1,0,18,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,2,0,0,0,0,0,0.43,0.13,0.55,0.43,0.55,Matches
426,Danny Simpson,eng ENG,DF,Leicester City,31,1987,6,3,292,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches
427,Jack Simpson,eng ENG,DF,Bournemouth,21,1996,6,4,403,4.5,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,5,16,0,0,0,0,0,0,0.03,0,0.03,0.03,0.03,Matches
428,Josh Sims,eng ENG,MF,Southampton,21,1997,7,2,212,2.4,0,1,1,0,0,0,0,0,0.6,0.6,0.7,1.3,3,0,12,0,0.42,0.42,0,0.42,0.27,0.29,0.56,0.27,0.56,Matches
429,Moussa Sissoko,fr FRA,"MF,FW",Tottenham,28,1989,29,27,"2,330",25.9,0,3,3,0,0,0,2,0,0.9,0.9,2.5,3.4,79,97,96,0,0.12,0.12,0,0.12,0.04,0.09,0.13,0.04,0.13,Matches
430,Oliver Skipp,eng ENG,MF,Tottenham,17,2000,8,2,220,2.4,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,2,8,3,0,0,0,0,0,0.03,0.01,0.04,0.03,0.04,Matches
431,Callum Slattery,eng ENG,MF,Southampton,19,1999,3,1,112,1.2,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,3,2,0,0,0,0,0,0.06,0,0.06,0.06,0.06,Matches
432,Chris Smalling,eng ENG,DF,Manchester Utd,28,1989,24,24,"2,127",23.6,1,0,1,1,0,0,1,0,1.2,1.2,0.2,1.4,3,35,6,0.04,0,0.04,0.04,0.04,0.05,0.01,0.06,0.05,0.06,Matches
433,Adam Smith,eng ENG,"DF,MF",Bournemouth,27,1991,25,25,"2,066",23,1,1,2,1,0,0,5,1,0.5,0.5,0.6,1.1,87,98,80,0.04,0.04,0.09,0.04,0.09,0.02,0.02,0.05,0.02,0.05,Matches
434,Tommy Smith,eng ENG,DF,Huddersfield,26,1992,15,13,"1,141",12.7,0,0,0,0,0,0,2,1,0.1,0.1,0.4,0.5,19,35,38,0,0,0,0,0,0.01,0.03,0.04,0.01,0.04,Matches
435,Robert Snodgrass,sct SCO,MF,West Ham,30,1987,33,25,"2,220",24.7,2,5,7,2,0,0,10,0,2.3,2.3,5.6,8,72,117,148,0.08,0.2,0.28,0.08,0.28,0.09,0.23,0.32,0.09,0.32,Matches
436,Cédric Soares,pt POR,DF,Southampton,26,1991,18,16,"1,495",16.6,1,2,3,1,0,0,4,0,0.3,0.3,1,1.4,31,54,66,0.06,0.12,0.18,0.06,0.18,0.02,0.06,0.08,0.02,0.08,Matches
437,Ramadan Sobhi,eg EGY,"FW,MF",Huddersfield,21,1997,4,0,79,0.9,0,0,0,0,0,0,0,0,0,0,0.2,0.2,3,6,14,0,0,0,0,0,0,0.22,0.22,0,0.22,Matches
438,Dominic Solanke,eng ENG,"FW,MF",Bournemouth,20,1997,10,2,347,3.9,0,1,1,0,0,0,0,0,1,1,0.4,1.3,10,6,24,0,0.26,0.26,0,0.26,0.25,0.1,0.35,0.25,0.35,Matches
439,Pape Souaré,sn SEN,DF,Crystal Palace,28,1990,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
440,Çağlar Söyüncü,tr TUR,DF,Leicester City,22,1996,6,4,372,4.1,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,2,10,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches
441,Julián Speroni,ar ARG,GK,Crystal Palace,39,1979,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
442,Junior Stanislas,eng ENG,"MF,FW",Bournemouth,28,1989,23,11,"1,031",11.5,2,3,5,1,1,1,1,0,3.1,2.3,2,4.2,35,58,81,0.17,0.26,0.44,0.09,0.35,0.27,0.17,0.44,0.2,0.37,Matches
443,Dale Stephens,eng ENG,MF,Brighton,29,1989,30,29,"2,485",27.6,1,1,2,1,0,0,6,1,0.3,0.3,0.7,1,16,151,8,0.04,0.04,0.07,0.04,0.07,0.01,0.02,0.04,0.01,0.04,Matches
444,Jack Stephens,eng ENG,DF,Southampton,24,1994,24,19,"1,700",18.9,1,0,1,1,0,0,4,0,1,1,0.2,1.2,11,54,6,0.05,0,0.05,0.05,0.05,0.05,0.01,0.06,0.05,0.06,Matches
445,Raheem Sterling,eng ENG,FW,Manchester City,23,1994,34,31,"2,771",30.8,17,9,26,17,0,0,3,0,13.7,13.7,9.6,23.3,155,87,436,0.55,0.29,0.84,0.55,0.84,0.44,0.31,0.76,0.44,0.76,Matches
446,John Stones,eng ENG,DF,Manchester City,24,1994,24,20,"1,764",19.6,0,0,0,0,0,0,1,0,0.3,0.3,0.2,0.6,44,118,5,0,0,0,0,0,0.02,0.01,0.03,0.02,0.03,Matches
447,Daniel Sturridge,eng ENG,"FW,MF",Liverpool,28,1989,18,4,509,5.7,2,1,3,2,0,0,1,0,1.2,1.2,0.8,2.1,9,31,37,0.35,0.18,0.53,0.35,0.53,0.22,0.15,0.37,0.22,0.37,Matches
448,Denis Suárez,es ESP,"MF,FW",Arsenal,24,1994,4,0,71,0.8,0,0,0,0,0,0,0,0,0,0,0,0,3,1,5,0,0,0,0,0,0,0,0,0,0,Matches
449,Isaac Success,ng NGA,"FW,MF",Watford,22,1996,30,9,"1,052",11.7,1,1,2,1,0,0,4,0,3.5,3.5,2.8,6.2,35,39,107,0.09,0.09,0.17,0.09,0.17,0.3,0.24,0.53,0.3,0.53,Matches
450,Ki Sung-yueng,kr KOR,MF,Newcastle Utd,29,1989,18,14,"1,302",14.5,0,1,1,0,0,0,2,0,0.3,0.3,1,1.2,12,66,12,0,0.07,0.07,0,0.07,0.02,0.07,0.09,0.02,0.09,Matches
451,Andrew Surman,eng ENG,MF,Bournemouth,31,1986,18,16,"1,439",16,0,0,0,0,0,0,2,0,0.3,0.3,0.4,0.7,3,89,10,0,0,0,0,0,0.02,0.02,0.04,0.02,0.04,Matches
452,Sam Surridge,eng ENG,"MF,FW",Bournemouth,20,1998,2,0,13,0.1,0,0,0,0,0,0,0,0,0.3,0.3,0,0.4,0,0,3,0,0,0,0,0,2.4,0.29,2.69,2.4,2.69,Matches
453,Alexander Sørloth,no NOR,FW,Crystal Palace,22,1995,12,0,185,2.1,0,0,0,0,0,0,0,0,0.5,0.5,0.9,1.4,4,9,13,0,0,0,0,0,0.23,0.44,0.66,0.23,0.66,Matches
454,Matt Targett,eng ENG,DF,Southampton,22,1995,16,13,"1,186",13.2,1,3,4,1,0,0,2,0,0.5,0.5,2.3,2.8,24,53,89,0.08,0.23,0.3,0.08,0.3,0.04,0.17,0.21,0.04,0.21,Matches
455,James Tarkowski,eng ENG,DF,Burnley,25,1992,35,35,"3,086",34.3,3,1,4,3,0,0,8,0,3.3,3.3,0.3,3.6,4,105,6,0.09,0.03,0.12,0.09,0.12,0.1,0.01,0.11,0.1,0.11,Matches
456,Charlie Taylor,eng ENG,DF,Burnley,24,1993,38,35,"3,243",36,0,1,1,0,0,0,2,0,0.2,0.2,1.5,1.7,93,97,94,0,0.03,0.03,0,0.03,0,0.04,0.05,0,0.05,Matches
457,Youri Tielemans,be BEL,MF,Leicester City,21,1997,13,13,"1,086",12.1,3,4,7,3,0,0,2,0,1.8,1.8,2.5,4.3,24,85,53,0.25,0.33,0.58,0.25,0.58,0.15,0.21,0.36,0.15,0.36,Matches
458,James Tomkins,eng ENG,DF,Crystal Palace,29,1989,29,29,"2,560",28.4,1,1,2,1,0,0,5,0,1.4,1.4,0.9,2.4,4,50,4,0.04,0.04,0.07,0.04,0.07,0.05,0.03,0.08,0.05,0.08,Matches
459,Lucas Torreira,uy URU,MF,Arsenal,22,1996,34,24,"2,382",26.5,2,2,4,2,0,0,7,1,1.5,1.5,1.2,2.7,28,140,35,0.08,0.08,0.15,0.08,0.15,0.06,0.04,0.1,0.06,0.1,Matches
460,Cenk Tosun,tr TUR,FW,Everton,27,1991,25,10,"1,059",11.8,3,3,6,3,0,0,3,0,5,5,0.9,5.9,11,16,90,0.25,0.25,0.51,0.25,0.51,0.43,0.07,0.5,0.43,0.5,Matches
461,Andros Townsend,eng ENG,"FW,MF",Crystal Palace,27,1991,38,34,"3,009",33.4,6,4,10,6,0,0,1,0,4.6,4.6,3.6,8.3,144,106,280,0.18,0.12,0.3,0.18,0.3,0.14,0.11,0.25,0.14,0.25,Matches
462,Adama Traoré,es ESP,"FW,MF",Wolves,22,1996,29,8,902,10,1,1,2,1,0,0,1,0,1.3,1.3,2.2,3.5,82,31,61,0.1,0.1,0.2,0.1,0.2,0.13,0.22,0.35,0.13,0.35,Matches
463,Mark Travers,ie IRL,GK,Bournemouth,19,1999,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
464,Kieran Trippier,eng ENG,DF,Tottenham,27,1990,27,26,"2,276",25.3,1,3,4,1,0,0,2,0,0.5,0.5,4.1,4.6,40,179,200,0.04,0.12,0.16,0.04,0.16,0.02,0.16,0.18,0.02,0.18,Matches
465,Antonio Valencia,ec ECU,DF,Manchester Utd,32,1985,6,5,466,5.2,0,0,0,0,0,0,2,0,0.1,0.1,0.5,0.5,18,25,21,0,0,0,0,0,0.01,0.09,0.1,0.01,0.1,Matches
466,Yan Valery,tn TUN,DF,Southampton,19,1999,23,20,"1,712",19,2,1,3,2,0,0,4,1,0.7,0.7,0.2,0.9,54,33,77,0.11,0.05,0.16,0.11,0.16,0.04,0.01,0.05,0.04,0.05,Matches
467,Virgil van Dijk,nl NED,DF,Liverpool,27,1991,38,38,"3,384",37.6,4,2,6,4,0,0,1,0,3.1,3.1,1.4,4.6,20,174,20,0.11,0.05,0.16,0.11,0.16,0.08,0.04,0.12,0.08,0.12,Matches
468,Jamie Vardy,eng ENG,FW,Leicester City,31,1987,34,30,"2,726",30.3,18,4,22,14,4,5,3,1,18.3,14.4,5.1,19.5,45,39,186,0.59,0.13,0.73,0.46,0.59,0.6,0.17,0.77,0.47,0.64,Matches
469,Jan Vertonghen,be BEL,DF,Tottenham,31,1987,22,22,"1,911",21.2,1,0,1,1,0,0,4,1,1,1,0.2,1.3,27,121,24,0.05,0,0.05,0.05,0.05,0.05,0.01,0.06,0.05,0.06,Matches
